courseName,courseDescription,courseNumber
Intermediate Jazz,"This course will explore the range of dance styles, both traditional and contemporary, that fit within the broader definition of ""jazz dance."" Students should be familiar with basic jazz vocabulary and will learn to perform movement sequences and longer phrases of increasing complexity. Course work will emphasize individual ownership of jazz movement through principles of body connectivity, improvisational structures, exploration of classical and contemporary trends and individual and group choreography. Technical accuracy, improved body connectivity, stylistic versatility, dynamic range, strength, flexibility, and rhythmic sensibility are goals within the classroom. There will be an emphasis on individual expression and performance techniques as these are vital components of jazz dance. Concert attendance, reading and writing assignments supplement course material as students place themselves within the context of jazz dance. Prerequisite: Intermediate technique level proficiency in either modern dance or jazz, or permission of instructor. (<em>Offered annually</em>)",DAT 945
Jamaican Dance II,"Intermediate level technique class focusing on both traditional and contemporary Jamaican folk forms, their role in shaping Jamaican national identity and their significance in preserving cultural traditions. This is a dance technique course and requires that the students physically participate every day.",DAT 950
Global Dance Techniques,This is a studio-based technique course that builds upon prior knowledge of Afro-Caribbean dance aesthetics and aims for sophistication and nuance in both theory and practice. Students are encouraged to investigate how the body is used as a tool for expression and definition of cultural voice. This is not an introductory course. (<em>Spring</em>),DAT 955
Inorganic Chemistry I,"A systematic survey of the principal reactions and properties associated with various groups and periods in the periodic table. A generally qualitative approach to the preparation and properties of various classes of inorganic compounds such as: acids and bases, oxidation and reduction systems, complex ions, amphoteric oxides, and ionic compounds, and the quantitative manipulations of these systems. Prerequisite: CHEM 280. (de Denus, <em>offered annually</em>)",CHEM 318
Cell Biology,"An introduction to the fundamental principles that guide the functions of cells and organelles. The major topics covered are transcription and translation, cell communication and signal transduction, cellular metabolism (respiration and photosynthesis), and cell motility. These topics are studied in the context of cancer and other human diseases. With laboratory. Prerequisite: BIOL 167. (Carle, <em>offered annually</em>)",BIOL 232
General Physiology,"An introduction to the major physiological processes of animals, from the level of cells and tissues to the whole organism. A comparative examination of animals emphasizes basic physiological processes and demonstrates how animals with different selective pressures solve problems related to integrating the separate yet coordinate organ systems of their bodies. Students examine relationships between structure and function, mechanisms of regulation, control and integration, metabolism, and adaptation to the environment. Laboratory exercises reinforce lecture topics and emphasize an investigative approach to the measurement of physiological processes. With laboratory. Prerequisite: BIOL 167. (Deutschlander, <em>offered annually</em>)",BIOL 233
Vertebrate Biology,"Vertebrates are among the most abundant and conspicuous animals in the natural world. Topics covered include an exploration of the diversity of vertebrates, the characteristics that define each vertebrate group, and how those characteristics relate to each group's evolution. In addition, the course covers principles of systematic biology, methods used by study vertebrates, behavior, reproduction, life history and physiology of vertebrates. The laboratory combines experiments with field trips. With laboratory. Prerequisite: BIOL 167 (Ryan, <em>offered annually</em>)",BIOL 234
Aquatic Biology,"Aquatic Biology provides a working knowledge of the general biology and ecology of aquatic systems and of the organisms that make up aquatic communities. Study in the classroom and field focuses on lake systems, but also includes streams and rivers, wetlands, and ponds. Students use field and laboratory techniques to study water quality issues, community composition, and ecological interactions among aquatic organisms. With laboratory. Prerequisites: BIOL 167. (Brown, <em>offered annually</em>)",BIOL 238
Immunology,"At a detailed level we dissect the immune system at the molecular, cellular, and disease level. With medical cases and current scientific literature we explore a wide range of topics such as the cells and organs of the immune system, innate and acquired immunity, the structure and function of the major molecular players in the immune response, vaccines, immunity to microorganisms, immunodeficiency, transplantation and cancer. The laboratory portion will explore the molecular immunological techniques relevant to the medical and research fields. With laboratory. Prerequisites: BIOL 212, and at least two additional 200-level courses, one of which must be BIOL 220, BIOL 222, BIOL 232, or BIOL 233. (Mowery, <em>offered annually</em>)",BIOL 302
Advanced Topics in Biology,"An in-depth study of topics of current research interest. Recent examples of courses include Restoration Ecology, Field Biology, Cancer Biology, Behavioral Neurobiology. Prerequisites: BIOL 212 and at least two additional 200-level courses, one of which will be dependent on the designated category/topic of the course. (Staff, <em>offered occasionally</em>)",BIOL 315
Conservation Biology,"Conservation biology addresses the alarming loss of biological diversity around the globe. In this course, students will explore the causes and consequences of biodiversity loss. Emphasis will be placed on integration of ecological and evolutionary theory to address the management and protection of biodiversity. Topics include species extinction and rarity, conservation genetics, population ecology, population viability analysis, landscape ecology, land and wildlife management, and captive species management. Students will also examine social, economic, and philosophical aspects of conservation, including the role of science in environmental policy. This course combines lecture, laboratory, and discussion of the primary literature. With laboratory. (Cosentino, <em>offered annually</em>)",BIOL 316
Comparative and International Education,"Schools in Finland do a far better job of educating students from all corners of society than American schools, by pursuing approaches that are virtually the opposite of what policy-makers in the US are currently demanding. Research methods form comparative education can guide us as we ask what other countries do that might succeed in our own context. In recent decades the Education for All initiative has brought millions more students into the primary school classrooms of poor countries. Yet in 2013 few sixth graders in Mali could read a sentence, and of the high school seniors in Liberia who took university entrance exams, none passed. International education is the study of what the children's educational needs are in developing countries, what is being done about them, and what is working. This course is a survey of both comparative and international education, with case studies from countries with both high and low educational achievement. (Temple, <em>offered alternate years</em>)",EDUC 323
Disability and Transition,"This course will explore issues related to transitions in the lives of individuals with disabilities, with a focus on transitions between school and adulthood. Current and emerging issues related to equal access for people with disabilities in post-secondary educational, vocational residential, and community settings will be explored. Educational policies and practices related to students with disabilities will also be examined, including self-determination and self-advocacy, IEP planning, assistive technologies, and accommodations. (Kelly, <em>offered alternate years</em>)",EDUC 330
Rethinking Families,"This course is an exploration of the concept of the family in relation to the policies and institutions that shape our daily lives. We will explore the ways that multiple family formations challenge our conceptions of what makes a family and consider how families are impacted by categories of race, class, citizenship, ability, and sexuality. We will then examine how the family institution has been positioned as a key political site, and explore how families are shaped by public education, law, and social welfare policies, among other institutions. This course asks students to develop an understanding of the family as a political institution, to consider a variety of diverse family formations, and to critically examine the policies and institutions that shape the lives of children and families in the contemporary United States. (N. Rodriguez, <em>offered annually</em>)",EDUC 331
Literacy,"Sixty million adult Americans are said to be functionally illiterate. So are nearly a billion other adults on the planet. In this course, we consider what these people are missing, in terms of ways of thinking and seeing the world as well as in civic and economic life. Then we will plunge into what we might do to help them. Solutions are not simple. We will need to explore the history of the English conventions of writing and spelling, the linguistic basis for reading skill, and best practices of teaching reading and writing. Since promoting literacy is a major concern of the international development community, the course will briefly consider international literacy efforts like Education for All, EGRA, and the work of CODE-Canada, and other agencies. The course is relevant to those interested in educational aspects of public policy, international development, and teaching in the schools. It will also be useful to students involved in tutoring projects such as America Reads. (Temple, <em>offered annually</em>)",EDUC 333
Special Topics in Education,"The purpose of this series of courses is to investigate a variety of specific, salient social issues in the field of education. Current topics include Self-Determination in Special Education; Transition and Disability: Diversity, Children, and Families; and Life after High School. (Repeatable) (Staff)",EDUC 336
Technology in Education,"This course explores the relationship between the evolution of educational technology and the pedagogical purposes that technology serves. Beginning with an examination of educational technology throughout the 20th century students explore ways in which educational technology is currently used, and might be used, to create opportunities for meaningful learning. Some of the topics explored are historical patterns of technology use, identity in online environments, communities of practice, the digital divide, apprenticeship, geospatial technologies, and Web 2.0 technology. (MaKinster, <em>Spring, offered alternate years</em>)",EDUC 346
Our National Parks,"The U.S. National Park Service functions to preserve unique and invaluable cultural resources throughout the country. At the same time, our parks serve a number of more personal purposes. They renew our spirits, provide endless formal and informal educational opportunities and are diverse settings for recreational activities. Students explore our National Park system from educational, historical, sociological, cultural, scientific, political and economic perspectives. Controversies abound when one examines the history and current state of our parks. At the same time, contemporary threats to our parks include financial troubles, overuse by the public, pollution, industry pressures and political agendas. The complexity of these situations create a series of educational challenges in terms of helping visitors, regional citizens and politicians make well-informed personal and political decisions. This course may require at least two weekend field trips. (MaKinster, <em>Fall, offered alternate years</em>)",EDUC 348
Natural Resource Law,"Natural Resource Law is a broad category of law that includes the law of public lands (state and federal), private lands, parks, monuments and roadless areas, tribal lands, and laws governing water, forests, minerals, rangelands, wildlife, and other environmental resources. After completing this course, students will have a well-developed sense for the complexity of the laws that govern our natural resources, and an understanding of the respective roles or state and federal governments, agencies and courts in managing natural resources. They will be able to make a well-researched and well-articulated legal argument in support of or against an existing or proposed law that governs (or may govern) one or more natural resources in the United States. In the process, students will learn how to do legal research, how to form a legal argument, and how to write and speak persuasively. (Kinne, <em>offered annually</em>)",ENV 320
Sustainable Consumption,"In light of increasing calls for sustainable development, complex geographies of production and consumption continue to emerge from global economic relationships. In tracing a range of everyday commodities from their points of origin to the consumers who purchase these products, this course introduces students to the relationship between consumption trends, market forces, and natural resource extraction. In additional to different theoretical perspectives on ""ethical"" and ""green"" consumerism, special attention will also be paid to major eco-labeling programs like ""Fair Trade"" and ""organic."" (Lewis, <em>offered alternate years</em>)",ENV 330
Water and Energy in China,"Water and energy are at the heart of China's environmental challenges, and addressing those challenges (or failing to) has very real human and ecological implications now and in the future. This is so not only for the people of China, the most populous country on Earth, but also for the rest of the world: pollution from China's coal-fired power plants brings acid rain and heavy metals to the Koreas, Japan, and even the western US, and manufactured products (including foodstuffs) tainted with industrial toxins have made their way to store shelves around the world. Yet the roots of many of China's environmental challenges are global: just as more developed countries have outsourced many of their manufacturing activities to China, so, too, have they outsourced the pollution of water, air, soil, and bodies resulting from those activities, along with the energy and other resource demands necessary to carry them out. This course explores the challenges and opportunities of sustainability in China - from ecological, socioeconomic, and geopolitical perspectives - through a close examination of the country's water and energy resources. (Magee, <em>offered annually</em>)",ENV 340
Sustainable Community Development Methods,"This course applies the practices and processes of sustainable community development planning through a service-learning project with local organizations. The course will begin by surveying the myriad approaches to sustainable development methods and application undertaken by a variety of disciplines. Students will evaluate the successes and failures of not only the methods but the outcomes of these efforts in achieving social equity, environmental and economic sustainability.Through a service-learning project, students will navigate through the process of developing a sustainable community development plan by applying the skills and knowledge developed throughout the course. (Lewis, Mauer, <em>offered alternate years</em>)",ENV 351
Group Senior Integrative Experience,"The group senior integrative experience (Group SIE) involves a multidisciplinary project or seminar. It enables a group of ES seniors to investigate an interdisciplinary topic of environmental interest with a focus on the local HWS and Geneva community. The topic is selected at the beginning of the semester and students work both independently and in groups toward the completion of an overall class goal. Completion of the group senior integrative experience requires preparation of a substantial individual paper demonstrating the student's project focus as well as the integration of their work with the others within the class, and a public (group or individual) presentation at a brown bag seminar. (Staff, <em>Fall, offered annually</em>)",ENV 400
Individual Senior Integrative Experience,"The senior integrative experience (SIE) involves a multidisciplinary project or seminar, independent study, or an off-campus internship. Ideally an internship should have both an academic and an experiential component. Students must register for ENV 300 during their senior year even if they are fulfilling this requirement by completing an independent study. A student should discuss the SIE project with his or her adviser, as well as with the faculty member supervising the work if other than the student's adviser. Completion of the senior integrative experience requires preparation of a substantial paper demonstrating integration of all three perspectives of study, and a public presentation at a brown bag seminar. (Staff, <em>offered each semester</em>)",ENV 401
Environmental Studies Internship,"(Staff<em>, </em><em>offered each semester</em>) ",ENV 499
Latin Historians: Tacitus or Livy,"In this Latin course, students will translate selections from one of the Roman historians, either Livy or Tacitus. The course aims to develop the ability to read the original Latin text of an ancient historian with attention given to vocabulary, grammar, and style. Students will also examine the work's context, place in history, and the writer's style as an historian. Livy and Tacitus are valuable on several levels: linguistic, historical, and literary. For Classicists, both the historical and philological value of the Roman historians are substantial and students can expect, therefore, to not only develop the ability to read the original text, but also, to learn about and research Roman historiography. Prerequisite: LAT 102 or equivalent, or permission of instructor. (<em>Offered every three years</em>)",LAT 255
Senior Seminar,"This seminar is designed to provide an integrative capstone experience for Greek, Latin, and Classics majors. Team-taught by members of the department, the structure and content of the course varies to meet the individual needs and desires of the senior majors. Possible content includes: intensive reading of Latin/Greek authors, Latin/Greek composition, surveys of Latin/Greek literature, introduction to research tools for graduate study, developing bibliographies, designing materials in preparation for teaching. <em>(Spring, offered occasionally)</em",LAT 400
Independent Study,<em>(by arrangement)</em,LAT 450
1/2 Credit Independent Study,<em>(by arrangement)</em,LAT 456
Honors,<em>(by arrangement)</em,LAT 495
Physical Chemistry I,"This course offers a fundamental and comprehensive introduction to thermodynamics and kinetics. Thermodynamics is one of the most powerful tools of science as it is a systematic method for understanding the flow of energy and heat between macroscopic bodies. Thermodynamics focuses on understanding systems at equilibrium and is concerned only with the initial and final state of a system. Kinetics, on the other hand, deals with the time dependence of the molecular system and how quickly or slowly the reaction proceeds. This course also provides a review of various mathematic tools that are widely used in chemistry. Prerequisite: CHEM 280, MATH 131, and PHYS 160 or permission of instructor. (Newby, Stennett, <em>Fall, offered annually</em>)",CHEM 320
Physical Chemistry II,"This course explores the realm of the electron, focusing on electron behavior at its most fundamental level. The course focuses on understanding quantum mechanics and how the interaction of radiation and matter gives rise to the spectroscopic instruments so crucially important in modern chemistry. Subjects discussed include wave mechanics, the harmonic oscillator and rigid rotator as models for vibration and rotation, chemical bonding and structure, approximation methods that allow quantum mechanics to be applied to large macromolecular systems, and various types of emission and adsorption spectroscopies. This course also reviews the mathematical tools necessary for understanding physical systems at the atomic and molecular level. Laboratory. Prerequisite: CHEM 280, MATH 131, and PHYS 160 or permission of instructor. (Newby, Stennett, <em>Spring</em>, <em>offered every other year</em>)",CHEM 322
Chemistry Seminar I,"This course is a capstone experience that integrates knowledge learned in previous courses in the chemistry major, and will require students to critically analyze and synthesize their knowledge. Unlike courses dedicated to a particular topic of chemistry, students will explore a number of contemporary topics in chemistry through readings of journal articles and textbooks, in class discussions and presentations, and by hosting outside speakers. Students enrolled in CHEM 460 will also be required to create a portfolio of their work within chemistry. All majors will be required to take both 360 and 460; each is a 1/2-credit course. CHEM 360 and 460 must be taken during two different semesters in the junior/senior year. (<em>Offered every semester</em>)",CHEM 360
Advanced Integrated Lab,"This course integrates techniques in analytical, inorganic, biochemical, and physical chemistry into project-oriented experiments. Such projects will involve synthesis, isolation, characterization, and analysis of inorganic and biomolecules. Due to the advanced nature of many of these experiments, troubleshooting and problem solving are required elements of this course. Effective use of primary literature and communication of results will also be major components of this course. Proficiency in statistical treatment of the data is also required. This course serves as the capstone laboratory experience for chemistry majors. Prerequisites: CHEM 190 OR 280; CHEM 241; plus at least one of the following three courses as a prerequisite and a second of these three courses as at least a co-requisite: CHEM 318, CHEM 320, CHEM 448; or instructor permission. (<em>Fall, offered annually</em>)",CHEM 425
Agroecology,"Agriculture dominates the landscape around Geneva and in this course we'll use ecological theory to study agricultural ecosystems, exploring how their design and management affect productivity, sustainability, and the surrounding environment. Our work will focus primarily on agricultural ecosystems found locally including vineyards, orchards, row crops, organic farms, and backyard gardens. We will also consider animal production systems. We'll start by investigating how plants acquire and use resources such as light energy, water, and nutrients. Then we'll explore the impact of species interactions in agricultural systems. Finally, we'll examine impacts of management practices on species diversity and on the sustainability of agroecosystems. The laboratory will be field-based. Prerequisites: BIOL 212 and at least two additional 200-level courses, one of which must be BIOL 215, BIOL 225, BIOL 227, BIOL 228, BIOL 234, or BIOL 238. (Newell, <em>offered annually</em>)",BIOL 320
Anatomy,"This course presents a systemic approach to the study of the human body. Course topics begin with an introduction of anatomical terminology and an overview of cellular processes and tissue classification. Students then are introduced to the gross and microscopic anatomy of the following systems: integumentary, skeletal, muscular, nervous, circulatory, respiratory, digestive, urinary and reproductive. Students will also develop an understanding of how these systems develop during early embryology, as well as learning the clinical relevance of disease and disorders that affect anatomy. One of the goals of this course is to provide an understanding of human anatomy which then provides the foundation for clinical diagnosis and decisions. The laboratory component of the course generally parallels and reinforces lecture concepts with practical hands-on learning. Prerequisites: BIOL 212 and at least two additional 200-level courses, one of which must be BIOL 220, BIOL 222, BIOL 232, or BIOL 233. (Ryan, <em>offered annually</em>)",BIOL 324
Invasion Ecology,"Biological invasions are second only to habitat destruction in causing declines in native species and are the primary drivers of global environmental change. Species invasions also provide unique opportunities for testing basic theories in ecology and evolution. This course studies the process and underlying mechanisms of invasions, the effects of invasions on communities and ecosystems, and the management techniques employed to address invasions. The focus is on research approaches and discussion of the relevant scientific literature.",BIOL 325
Evolution,"Evolution is often referred to as the great unifying principle of all the biological sciences. In this course, both micro-evolutionary process and macro-evolutionary patterns are discussed. Micro-evolution involves studying current evolutionary processes (such as natural selection, sexual selection, and genetic drift) using techniques from population, quantitative, and molecular genetics. Additional topics include levels of selection, adaptation, and ecological factors important for evolutionary change. Evolutionary processes also are central to the understanding of past events and, therefore, topics such as biological diversity, speciation, phylogeny, and extinction are also discussed. With laboratory. Prerequisites: BIOL 212 and at least two additional 200-level courses, one of which must be BIOL 215, BIOL 225, BIOL 227, BIOL 228, BIOL 234, or BIOL 238. (Droney, <em>offered annually</em>)",BIOL 336
Neurobiology,"In this course students examine concepts and experimental models in cellular and systems neurobiology in order to gain a better understanding of how the nervous system is integrated to produce simple and complex behaviors. After a consideration of how individual neurons function, students examine (1) how parts of the nervous system are specialized to sense and perceive the environment, (2) how commands are initiated and modified to produce smooth, well-controlled movements, and (3) how more complex functions of the nervous system (such as emotions, language, homeostasis, etc.) are produced by neural networks. Because neurobiology is an inherently comparative field, students examine neural processes that demonstrate basic concepts inherent to neurological systems both in invertebrates and vertebrates (including humans). Laboratories include some computer simulations of neuronal physiology and wet lab experiments designed to introduce students to techniques for investigation of the neural basis of behavior. With laboratory. Prerequisites: BIOL 212 and at least two additional 200-level courses, one of which must be BIOL 220, BIOL 222, BIOL 232, or BIOL 233. (Ryan, <em>offered occasionally</em>)",BIOL 340
Developmental Biology,"This course presents a comprehensive view of the principles that govern how a single fertilized egg develops into a complex organism. Developmental biology is an integrative discipline that includes other fields of biology such as molecular and cell biology, genetics, biochemistry, evolution, neurobiology and physiology. Through lectures and laboratory exercises, students learn the experimental approaches used by scientists to study developmental processes. With laboratory. Prerequisites: BIOL 212 and at least two additional 200-level courses, one of which must be BIOL 220, BIOL 222, BIOL 232, or BIOL 233. (Kenyon, <em>offered annually</em>)",BIOL 341
Ornithology,"Birds instill wonder in many people due to their colorful and melodious communication, their incredible flight and migrations, and their ubiquitous presence everywhere humans live.  Birds are also obvious sentinels of environmental change; more than one species has been a "" canary in a coal mine "" for environmental disturbances such as pesticide use, pollution, and climate change.  Ornithology is the scientific study of this amazing group of animals.  In this course, we will study local avifauna to learn about the diversity, natural history, and conservation of birds.  Students will develop identification skills and learn and practice field techniques in ornithology.  The study of birds also provides the opportunity to take a holistic approach to biology, combining subdisciplines such as evolutionary biology, systematics, population biology, genetics, animal behavior and physiology.  Lecture and discussion topics may include the evolution and systematics of extant birds, feathers and flight mechanics, anatomy and environmental physiology, migration and dispersal, foraging ecology and niche partitioning, communication, parental and social behavior, and conservation.  We will read and assess primary literature in ornithology to investigate how scientists advance our understanding of birds, and will examine the role of citizen science in advancing our ornithological research.  Student experience, knowledge, and interest will determine specific case studies we explore.",BIOL 356
Genomics,"The field of genomics is a rapidly developing area of biology due to recent advances in DNA sequencing technology that makes relatively rapid sequencing of whole genomes of organisms and genome-scale approaches to answering biological questions possible. These advances in sequencing are revolutionizing studies in many areas of biological study, including genetics, development, evolution, and medicine. Topics to be covered in this course include methods for genome sequencing, genome assembly and annotation, genomic approaches for the study of structural changes, whole genome duplication, gene family evolution, gene expression, as well as evolutionary genomics, metagenomics, and personalized medicine. In the laboratory for the course, students will acquire the wet lab skills necessary for genomic data collection, use next-generation sequencing technology to sequence billions of base pairs of DNA, and gain the bioinformatics skills necessary to process, characterize, and analyze genomic data.",BIOL 380
Analysis of Secondary School Teaching,"This seminar accompanies EDUC 402 403, student teaching in the secondary schools and is open only to adolescent teacher certification participants engaged as full-time student teachers. It provides a structure within which participants critically examine their classroom experiences of teaching, learning, and curriculum development, with the goal of becoming reflective practitioners. Texts and readings are selected from those that provide analysis of the experience of secondary school education, as well as those that provide rationales for the methods and purposes of the academic disciplines. This course must be passed with a C or better in order to be recommended for certification. (Gibbon, <em>offered each semester</em>)",EDUC 401
Analysis of Elementary and Special Education Teaching,"This course is open only to elementary and special education teacher certification program participants engaged as full-time student teachers. It provides student teachers with an opportunity to critique education as it is offered in school settings for all children. Participants focus on becoming reflective practitioners as they critically examine teaching, learning, and curriculum development. Emphasis is placed on application of the above to the teaching of reading English Language Arts. Students must pass this course with a grade of C or better in order to be recommended for certification. Prerequisites: Completion of all other teacher certification requirements. (Harris, <em>offered each semester</em>)",EDUC 404
Special Education Practicum,"This is full-time student teaching, taken in tandem with EDUC 405 during the second seven weeks of the semester. Students complete student teaching (as described in EDUC 405 above) in elementary special education settings. This course must be taken credit/no credit. Prerequisites: Completion of all other teacher certification requirements. (Kelly/Baker, <em>offered each semester</em>)",EDUC 407
Analysis of Teaching in the Disciplines,"This professional field-based seminar focuses on the development of a deeper understanding of the disciplinary content the student teacher is teaching. Through weekly conversations with his or her student-teaching college supervisor, the student will develop a more advanced understanding of how content knowledge combines with pedagogical content knowledge in effective teaching. Weekly observations of the student teacher by the supervisor and readings selected from educational journals and books will support these conversations. This seminar supports students as they prepare for and take the edTPA student teacher assessment. Occasional group meetings may be held. (<em>Offered each semester</em>)",EDUC 410
Analysis of Teaching the Arts,"This course is open only to students pursuing certification in art who are engaged in full-time student teaching. It provides a structure within which students critically examine their classroom experiences of teaching, learning, and curriculum development within the arts, with an eye towards helping students become reflective practitioners. Emphasis is placed upon helping students meet the developmental needs of all students (p-12) while also exploring means of helping all learners meet the New York State Learning Standards in the Arts. This course must be passed with a grade of C or better in order to be recommended for certification. (<em>Offered each semester</em>)",EDUC 412
Analysis of TESOL,"(Permission of instructor; open only to TESOL student teachers). Analysis of TESOL is a full-semester seminar to accompany the student teaching semester for students involved in one of several programs leading to New York State certification in Teaching English to speaker of other languages, kindergarten through grade 12. In the seminar the students carry out readings and discussions on teaching speaking, listening, reading and writing in English, and relate academic writings on these issues to daily experiences in classrooms.",EDUC 415
Seminar: Research in Education,"Open only to Master of Arts in Teaching students or educational studies majors using it as their capstone, this course is a survey of educational research and research methodology with an emphasis on qualitative and teacher-generated research. (<em>Offered annually</em>)",EDUC 420
Educational Foundations,"The course takes an interdisciplinary approach to critically examine the fundamental nature of American education. Students will draw on theoretical frameworks from education, history, sociology, public policy and philosophy to make critical inquiries into educational problems, such as multiculturalism, contemporary school reform, and equality of educational opportunity. Students will explore the interplay of various actors that inform educational experiences, such as children, policy makers, and families, as well as critically engaging text and self in relation to educational apparatuses. Ultimately, this course aims to provide pre-service teachers with a rich understanding of the sociopolitical context of schooling and education and the necessary analytical tools to support ethical and responsive teaching and research. Prerequisite: EDUC 420 (<em>Spring, offered annually</em>)",EDUC 821
Advanced Topics in Chemistry,"An in-depth study of topics of current research interest. Topics may include: Molecular Spectroscopy, Computational Chemistry, Advanced Instrumentation, Advanced Synthesis, Nanotechnology, and Surface Chemistry. (<em>Offered occasionally</em>)",CHEM 426
Advanced Inorganic Chemistry,"The descriptive chemistry of a wide variety of inorganic and organometallic compounds is unified with structure, bonding, and reaction mechanism concepts. Topics such as group theory, metal catalysis, ligand and molecular orbital theory, and bioinorganic chemistry are introduced. Laboratory work provides the opportunity to learn advanced techniques such as inert atmosphere synthesis, NMR, and electrochemistry. Prerequisite: CHEM 318, and either 320 or 322, or permission of instructor. (de Denus, <em>offered occasionally</em>)",CHEM 436
Advanced Organic Chemistry,"This course offers an advanced treatment of a selected group of topics in organic chemistry which could include: asymmetric synthesis, synthetic organometallic chemistry, combinatorial chemistry, solid-phase chemistry, heterocycles, carbohydrate chemistry, pericyclic reactions/frontier molecular orbitals, advanced spectroscopy, and/or natural products total synthesis. The emphasis of the course is to further understanding of fundamental concepts in organic chemistry including mechanism, structure, and/or synthesis. Prerequisite: CHEM 241 (Pelkey, <em>offered approximately every other year</em>)",CHEM 447
Biochemistry I,"The first part of this course involves the study of the structure, function, and physical properties of biological macromolecules. These include proteins, carbohydrates, and lipids, with particular emphasis on the kinetics and mechanisms of enzyme catalysis. The second part of the course deals with carbohydrate metabolic pathways, principles of bioenergetics, electron transport, and oxidative phosphorylation. Prerequisites: CHEM 241, or permission of the instructor. CHEM 320 is highly recommended. (K. Slade, Craig, <em>Fall, offered annually</em>)",CHEM 448
Biochemistry II,"A continuation of CHEM 448, the first half of this course covers integrated intermediary metabolism of lipids, amino acids, and nucleic acids. The second half deals with chemical mechanisms of DNA replication, transcription, and translation. Special topics such as muscle contraction, mechanisms of hormone action, recombinant DNA, and neurochemistry are discussed. Laboratory. Prerequisite: CHEM 448. (Craig, K. Slade, <em>Spring, offered annually</em>)",CHEM 449
Independent Study,"Attendance at all biology seminars, generally held on alternate Friday afternoons, is required of all students conducting independent study. Prerequisite: permission of the instructor.",BIOL 450
1/2 Credit Independent Study,"Attendance at all biology seminars, generally held on alternate Friday afternoons, is required of all students conducting independent study. Prerequisite: permission of the instructor.",BIOL 456
Honors,Attendance at all biology seminars held throughout the semester is required of all students doing Honors. Prerequisite: permission of the instructor.,BIOL 495
Independent Study,<em>(Offered each semester)</em,CHEM 450
1/2 Credit Independent Study,<em>(Offered each semester)</em,CHEM 456
Chemistry Seminar II,"This course is a capstone experience that integrates knowledge learned in previous courses in the chemistry major, and will require students to critically analyze and synthesize their knowledge. Unlike courses dedicated to a particular topic of chemistry, students will explore a number of contemporary topics in chemistry through readings of journal articles and textbooks, in class discussions and presentations, and by hosting outside speakers. Students enrolled in CHEM 460 will also be required to create a portfolio of their work within chemistry. All majors will be required to take both 360 and 460; each is a 1/2-credit course. CHEM 360 and 460 must be taken during two different semesters in the junior/senior year. (<em>Offered every semester</em>)",CHEM 460
Industrial Internship,The internship offers students the opportunity to work on research and development in industrial settings in the Finger Lakes region. Students may elect to take one to three credits in a term. An effort is made to match each student with an industry corresponding to his/her interest. Student work is supervised both by a faculty member and by an industrial supervisor. Prerequisite: Permission of instructor. (<em>Offered each semester</em>),CHEM 490
Honors,<em>(Offered each semester)</em,CHEM 495
Issues in Art,"This course takes a broad view of the visual arts, discussing them not in isolation but in the context of the contemporary thought and culture of which they form a part. The course focuses on the social, political, and economic issues raised by the art of our time. Issues discussed include: race, gender, class, censorship, patronage, ecology, activism, etc. Students look at a selection of works from the field of fine art, that is, the practices of painting, sculpture, drawing, photography, installation, performance, video and other mixed media as a basis for a discussion of the issues raised by contemporary art. Open to first-year students only. (Staff, offered occasionally)",ARTH 100
Ancient to Medieval Art,"This course offers a chronological study of principal monuments and developments in paintings, sculpture, and architectures from prehistoric to medieval times in Europe, the Mediterranean, and the Islamic world. (Tinkler, <em>offered annually</em>)",ARTH 101
Trekking through Asia,"Welcome to the ""Asian Century."" Asia has re-emerged as the center of the world, after a brief hiatus that started in the 18th century. With histories and religious traditions stretching back three millennia, today as we see cultures across Asia have transformed in ways to meet the demands of our rapidly changing world. China, Japan, and India are three of the world's top economies. Asia contains six of the world's ten largest countries, and is home to over half of the world's population and two of the world's major religions, Hinduism and Buddhism. For decades Asian countries have been leaders in global manufacturing, and Asian universities are now renowned centers for scientific and medical innovation. Fifty percent of the declared nuclear-weapon states are also in the region. Simply put, Asia matters a great deal! In this course, we trek through the Asian past and present, exploring this vast and vibrant region. Through writings and travelogues that documented the peoples and lands of places stretching from the Sea of Japan to Persia, and from Java to the Mediterranean Sea, we will learn about the cultural systems that helped shape Asian societies. We will consider how these traditions contributed to and were changed by historical interactions in Asia itself and in relationship to the rest of the world. Join us on the journey! (Yoshikawa and Cerulli, <em>offered annually</em>)",ASN 101
Introduction to Asian Art,"This course presents a topical study of the arts and architecture of China, Japan, India, and (to a lesser extent) Korea and Southeast Asia, with some comparisons to the arts of Central Asia, Europe, and America. We will examine developments in a variety of media, including painting, sculpture, architecture, ceramics, prints, and installations, through a series of case studies. Broad topics will include connections between art, politics, philosophy, and religion; cross-cultural interactions of Asian cultures; artistic practice, patronage, and collecting; and international art movements in the 19th and 20th centuries. In addition, students will learn to analyze two- and three-dimensional works of art and architecture. There are no prerequisites, and no previous exposure to the arts of Asia is necessary. (Blanchard, <em>offered annually</em>)",ASN 103
